,AppName,compute_version,gpu_id,gpu_name,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y
59,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,61.3562220000,448,448,16,16
60,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,54.8490440000,464,464,16,16
61,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,80.1804490000,480,480,16,16
62,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,79.4314640000,496,496,16,16
63,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,92.9325420000,512,512,16,16
64,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.0041541040,8,8,32,32
65,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.0332790000,16,16,32,32
66,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.1119110000,24,24,32,32
67,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.2653870000,32,32,32,32
68,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.5173890000,40,40,32,32
69,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,0.8953310000,48,48,32,32
70,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,1.4193100000,56,56,32,32
71,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,2.1186550000,64,64,32,32
72,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,3.0157630000,72,72,32,32
73,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,4.1375780000,80,80,32,32
74,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,5.5064820000,88,88,32,32
75,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,7.1499680000,96,96,32,32
76,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,9.0864550000,104,104,32,32
