,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
3047,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,4608,0.001542202,16,-2.2872807836629674,-2.2872816385760775
3048,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,4864,0.001736249,16,-2.285371608755481,-2.2853431274079172
3049,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,5120,0.001929304,16,-2.28347580404057,-2.283459135991627
3050,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,5376,0.002138647,16,-2.2814241043747536,-2.2814774102060795
3042,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,3328,0.000817021,16,-2.2944480784729824,-2.29444371070647
3051,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,5632,0.002345622,16,-2.279399742582085,-2.279389249176655
3053,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,6144,0.002724371,16,-2.2757058873757274,-2.275700403156941
3054,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,6400,0.003015698,16,-2.2728738945983946,-2.272806155342507
3055,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,6656,0.003275601,16,-2.270354126302056,-2.2703528157524797
3056,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,6912,0.003545743,16,-2.267741802560208,-2.267716199281223
3057,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,7168,0.00379499,16,-2.2653375753111384,-2.2654663748935375
3058,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,7424,0.0040691,16,-2.2627001773951307,-2.2627061811093943
3059,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,7680,0.004353867,16,-2.2599675881675982,-2.2599383963815516
3060,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,7936,0.004573098,16,-2.2578689497226954,-2.257835539779388
3052,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,5888,0.002556885,16,-2.277337658735928,-2.2773034259420433
3061,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,8192,0.004688842,16,-2.256762737940438,-2.256749859509157
3041,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,3072,0.000677054,16,-2.295837370168164,-2.295823645105936
3039,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,2560,0.000477983,16,-2.2978166501102235,-2.297826855168086
3021,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,6144,0.003886308,8,-2.264458170119005,-2.2644769112952314
6940,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,6912,0.002145109,32,-2.2813608394326095,-2.2813923375307836
3023,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,6656,0.004466281,8,-2.25889092950285,-2.2589222020948356
3024,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,6912,0.004811372,8,-2.2555930015317553,-2.255638221183213
3025,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,7168,0.005162959,8,-2.252244141441011,-2.2522779052580906
3026,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,7424,0.005526866,8,-2.248789704456413,-2.2488337925677264
3027,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,7680,0.006050263,8,-2.2438421180122385,-2.2439354903304256
3028,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,7936,0.006516989,8,-2.2394507854280388,-2.2394106591302303
3040,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,2816,0.000570527,16,-2.2968960364082256,-2.2969150556269495
3029,3.5,8,0,348,2304,1.0,192.256,3552.768,6,5,50,8192,0.006545307,8,-2.2391849664567953,-2.23912956381122
3031,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,512,1.9552e-05,16,-2.3023895921055897,-2.3023897243211033
3032,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,768,4.4416e-05,16,-2.3021410316039006,-2.3021438537973786
3033,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,1024,7.2961e-05,16,-2.301855749030028,-2.3018646508456304
3034,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,1280,0.000117857,16,-2.3014072169624615,-2.3014051198844654
3035,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,1536,0.000170976,16,-2.3008767929697727,-2.3008808124426734
3036,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,1792,0.000233535,16,-2.300252465685722,-2.3002897815570247
3037,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,2048,0.000285056,16,-2.299738588135747,-2.299745447206448
3038,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,2304,0.000388128,16,-2.2987113257281893,-2.2986898156272817
3030,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,256,5.024e-06,16,-2.302534854256032,-2.302527273882699
3062,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,256,5.76e-06,16,-2.302527494652862,-2.302526976293284
3063,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,512,2.3905e-05,16,-2.3023460715619444,-2.30234527746544
