,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
1287,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.026623,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1286,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.00400607,8.0,8.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1285,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,127.147428,256.0,256.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1284,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,115.597026,248.0,248.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1283,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,104.742912,240.0,240.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1282,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,94.612986,232.0,232.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1281,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,85.186952,224.0,224.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1280,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,76.362554,216.0,216.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1279,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,68.189019,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1278,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,60.626719,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1277,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,53.639768,192.0,192.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1276,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,47.19628,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1275,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,41.319855,176.0,176.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1274,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,35.934269,168.0,168.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1247,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,54.766108,208.0,208.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1297,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,5.280922,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1246,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,48.686466,200.0,200.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1244,3.5,2.0,745.0,2880.0,1.5,384.0,3004.0,288384.0,12.0,15.0,192.0,4291.2,1.0,37.910395,184.0,184.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1216,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,2.423514,176.0,176.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
1215,3.5,5.0,771.0,2304.0,1.0,256.0,3004.0,192256.0,8.0,12.0,192.0,3552768.0,1.0,1.818897,160.0,160.0,16.0,16.0,32.0,0.0,348.0,6.0,100.0
