,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4061,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,5120,24.427619,160,160,32,32
4062,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,5376,28.270978,168,168,32,32
4043,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,512,0.026623,16,16,32,32
4042,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,256,0.00400607,8,8,32,32
4041,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,8192,127.147428,256,256,32,32
4040,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,7936,115.597026,248,248,32,32
4020,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,2816,5.169651,88,88,32,32
4021,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,3072,6.709764,96,96,32,32
4022,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,3328,8.534204,104,104,32,32
4023,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,3584,10.651639,112,112,32,32
4024,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,3840,13.098973,120,120,32,32
4025,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,4096,15.894289,128,128,32,32
4026,3.5,32,0,348,3,706,2496,1.0,320,2600,208.0,4,13,192,3524352.0,1,6,100,4352,19.064008,136,136,32,32
