compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,occupancy,input_size,duration,block_x
3.0,32,0,348,1536,0.5,192.256,3250.176,50,8192,21.944694,8
3.0,32,0,348,1536,0.5,192.256,3250.176,100,256,0.000553028,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,512,0.004410123,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,768,0.014786,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1024,0.035039,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1280,0.06834,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1536,0.117579,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1792,0.176418,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2048,0.263558,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2304,0.37478,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2560,0.514793,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2816,0.683421,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3072,0.879492,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3328,1.118057,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3584,1.396491,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3840,1.718229,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4096,2.08541,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4352,2.49949,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4608,2.968663,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4864,3.492306,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5120,4.070582,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5376,4.715743,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5632,5.420441,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5888,6.196394,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6144,7.024917,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6400,7.951209,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6656,8.949647,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6912,10.007487,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7168,11.293463,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7424,12.553817,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7680,13.80722,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7936,15.285634,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,8192,16.857703,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,256,0.000360101,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,512,0.002867557,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,768,0.009616557,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1024,0.022466,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1280,0.044596,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1536,0.078365,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1792,0.122217,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2048,0.175907,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2304,0.239499,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2560,0.330354,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2816,0.440018,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3072,0.578289,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3328,0.726948,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3584,0.906363,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3840,1.119341,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4096,1.334293,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4352,1.622531,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4608,1.948557,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4864,2.272806,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5120,2.656119,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5376,3.061826,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5632,3.508146,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5888,4.042893,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6144,4.680837,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6400,5.215322,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6656,5.88047,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6912,6.581794,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7168,7.293249,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7424,8.171304,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7680,9.276946,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7936,9.999309,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,8192,10.652913,32
3.0,32,512,348,1536,0.5,192.256,3250.176,50,256,0.000395909,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,512,0.003196426,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,768,0.010791,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1024,0.026301,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1280,0.049628,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1536,0.13195,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,1792,0.140591,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2048,0.243092,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2304,0.322012,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2560,0.573802,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,2816,0.568931,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3072,1.333223,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3328,0.953451,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3584,1.44206,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,3840,1.571952,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4096,2.124888,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4352,2.192213,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4608,4.65162,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,4864,3.050811,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5120,4.759649,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5376,4.300851,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5632,5.872406,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,5888,5.502113,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6144,12.106216,8
3.0,32,512,348,1536,0.5,192.256,3250.176,50,6400,7.063203,8
